Timestamps,ICT,"U06, U06A, U05B",OBS,"U05, U04, U04B, GEO",TEG,LIB,MEK,SOC,S01,D04,air temperature,Atm pressure mm of mercury,Relative humidity (%),is_weekend
01.01.2023 00:00,135.0,98.4,7.54,84.9,5,27.2,13.6,67.5,2.9,10.6,0.44680851063829785,0.956958762886598,0.93,1
01.01.2023 01:00,134.7,96.4,7.298999999999999,85.8,6,27.0,13.7,67.2,2.9,12.3,0.44680851063829785,0.956958762886598,0.87,1
01.01.2023 02:00,133.1,98.1,7.129,84.8,5,27.0,13.8,67.4,2.8,12.0,0.44680851063829785,0.957860824742268,0.93,1
01.01.2023 03:00,129.9,96.3,7.258,84.9,6,26.2,13.7,67.3,2.8,10.9,0.425531914893617,0.9588917525773196,0.93,1
01.01.2023 04:00,130.7,97.4,7.238,94.1,5,26.8,14.0,67.6,2.9,11.5,0.425531914893617,0.9588917525773196,0.87,1
01.01.2023 05:00,130.3,96.8,7.201,95.8,5,25.9,13.7,67.6,2.9,11.4,0.3829787234042553,0.9588917525773196,0.93,1
01.01.2023 06:00,128.9,96.6,7.181,109.7,6,25.7,18.6,68.7,2.8,11.3,0.3829787234042553,0.9597938144329896,0.93,1
01.01.2023 07:00,132.3,95.6,7.146,89.3,5,25.7,20.4,68.9,2.8,11.4,0.3829787234042553,0.9597938144329896,0.93,1
01.01.2023 08:00,131.8,97.0,7.247,89.3,5,26.6,21.2,68.2,2.9,15.7,0.3829787234042553,0.9608247422680413,0.93,1
01.01.2023 09:00,133.0,96.7,7.103000000000001,89.7,6,26.1,20.6,68.8,2.8,16.6,0.36170212765957444,0.9608247422680413,1.0,1
01.01.2023 10:00,131.2,95.0,7.102,89.8,6,25.2,21.0,90.8,2.7,18.3,0.36170212765957444,0.9618556701030927,1.0,1
01.01.2023 11:00,133.3,96.4,7.210000000000001,91.5,5,27.3,21.3,79.8,3.0,17.5,0.36170212765957444,0.9618556701030927,0.93,1
01.01.2023 12:00,133.3,95.1,7.015000000000001,89.3,6,25.9,21.1,74.0,2.8,17.3,0.36170212765957444,0.9627577319587629,1.0,1
01.01.2023 13:00,132.7,95.8,7.052,89.3,5,26.8,22.4,75.5,2.6,19.0,0.3829787234042553,0.9627577319587629,0.87,1
01.01.2023 14:00,132.9,99.8,7.183,89.8,6,27.3,22.0,70.60000000000001,2.8,14.8,0.3829787234042553,0.9637886597938143,0.81,1
01.01.2023 15:00,163.5,96.1,7.040999999999999,91.2,5,29.5,21.9,74.2,2.8,20.3,0.3829787234042553,0.9646907216494846,0.75,1
01.01.2023 16:00,172.9,103.2,7.051,92.0,6,28.7,23.8,70.8,2.8,18.5,0.36170212765957444,0.9646907216494846,0.81,1
01.01.2023 17:00,147.7,107.5,7.523,91.4,6,27.2,23.7,70.10000000000001,2.6,20.3,0.36170212765957444,0.965721649484536,0.81,1
01.01.2023 18:00,136.6,103.8,7.48,88.6,5,27.5,23.3,70.0,2.8,18.9,0.3404255319148936,0.9666237113402062,0.8,1
01.01.2023 19:00,138.2,101.3,7.53,89.2,6,26.0,17.4,68.9,2.8,19.0,0.2978723404255319,0.9666237113402062,0.93,1
01.01.2023 20:00,139.8,99.6,7.545,90.6,5,29.4,15.2,67.4,2.7,22.2,0.3404255319148936,0.9685567010309278,0.87,1
01.01.2023 21:00,136.3,97.1,7.515,89.4,6,30.7,15.2,66.8,2.7,22.0,0.3404255319148936,0.9695876288659794,0.8,1
01.01.2023 22:00,138.0,98.1,7.485,88.7,6,30.4,14.9,64.6,2.8,19.6,0.3404255319148936,0.9704896907216495,0.8,1
01.01.2023 23:00,135.7,95.9,7.497,89.1,5,31.2,14.6,65.9,2.7,17.9,0.3404255319148936,0.971520618556701,0.8,1
02.01.2023 00:00,131.7,95.7,7.17,86.6,6,29.9,14.5,64.8,2.8,14.0,0.3404255319148936,0.9721649484536082,0.8,0
02.01.2023 01:00,131.0,96.6,7.14,87.3,5,28.6,14.8,64.10000000000001,2.7,11.9,0.3404255319148936,0.9731958762886599,0.8,0
02.01.2023 02:00,130.6,96.3,7.056999999999999,89.0,5,30.0,14.1,64.8,2.8,11.4,0.3404255319148936,0.9731958762886599,0.8,0
02.01.2023 03:00,128.0,96.2,7.029999999999999,87.6,6,27.6,14.1,67.3,2.8,10.8,0.3191489361702128,0.9740979381443299,0.86,0
02.01.2023 04:00,128.9,96.5,7.253,95.5,5,36.5,14.5,69.6,2.6,11.0,0.2765957446808511,0.9751288659793815,0.93,0
02.01.2023 05:00,130.2,106.9,7.039,100.2,5,48.4,16.6,93.4,2.8,11.1,0.2978723404255319,0.9760309278350515,0.93,0
02.01.2023 06:00,144.3,115.7,7.089,112.9,6,53.1,19.5,115.0,2.7,11.9,0.2765957446808511,0.9760309278350515,0.93,0
02.01.2023 07:00,176.8,128.2,7.122,107.9,6,82.89999999999999,22.1,125.0,5.5,13.4,0.2765957446808511,0.9760309278350515,0.93,0
02.01.2023 08:00,180.9,137.3,7.118,128.7,5,122.1,28.7,137.4,10.5,15.2,0.2765957446808511,0.9770618556701032,0.93,0
02.01.2023 09:00,218.8,152.3,7.047,146.4,7,133.7,31.1,158.3,12.0,16.3,0.2765957446808511,0.9770618556701032,0.93,0
02.01.2023 10:00,228.9,175.2,6.956,156.0,6,133.5,37.4,159.5,15.3,14.5,0.2765957446808511,0.9780927835051546,1.0,0
02.01.2023 11:00,230.1,174.9,7.085,158.5,5,142.1,40.2,159.4,15.7,15.1,0.2765957446808511,0.9780927835051546,0.93,0
02.01.2023 12:00,212.4,178.7,7.048999999999999,155.5,5,135.7,39.2,161.5,13.9,21.3,0.2765957446808511,0.9780927835051546,0.93,0
02.01.2023 13:00,203.4,182.5,7.061,154.3,6,138.1,39.7,165.0,11.6,19.0,0.2978723404255319,0.9770618556701032,0.86,0
02.01.2023 14:00,207.2,193.9,7.062,158.7,6,136.3,38.3,162.6,12.4,19.2,0.2978723404255319,0.9770618556701032,0.86,0
02.01.2023 15:00,208.6,191.4,7.096,158.9,13,138.4,38.0,163.6,16.7,16.9,0.3191489361702128,0.9760309278350515,0.8,0
02.01.2023 16:00,203.7,174.1,7.154,149.2,19,131.7,38.0,150.1,33.5,19.6,0.3191489361702128,0.9751288659793815,0.86,0
02.01.2023 17:00,189.5,157.0,7.367,133.5,19,121.3,32.0,142.2,35.6,23.3,0.3191489361702128,0.9740979381443299,0.86,0
02.01.2023 18:00,180.5,143.1,7.529,113.0,14,106.7,28.9,132.2,39.5,20.6,0.3404255319148936,0.9731958762886599,0.8,0
02.01.2023 19:00,174.3,125.8,7.539,107.9,4,100.4,21.1,118.3,34.5,23.4,0.3404255319148936,0.9721649484536082,0.8,0
02.01.2023 20:00,138.6,114.1,7.387,99.0,5,94.2,20.6,96.4,21.2,25.1,0.3404255319148936,0.971520618556701,0.87,0
02.01.2023 21:00,134.7,110.7,7.494000000000001,96.7,5,80.10000000000001,19.5,79.10000000000001,10.5,21.3,0.3404255319148936,0.9695876288659794,0.93,0
02.01.2023 22:00,133.7,107.0,7.476,94.9,4,78.0,17.4,73.2,3.0,21.9,0.36170212765957444,0.9685567010309278,0.93,0
02.01.2023 23:00,135.3,102.2,7.515,90.4,5,38.5,16.9,71.5,2.7,17.6,0.36170212765957444,0.9675257731958762,0.93,0
03.01.2023 00:00,156.7,101.6,7.037,88.8,4,35.4,18.0,70.60000000000001,2.8,12.7,0.36170212765957444,0.9667525773195876,0.93,0
03.01.2023 01:00,158.2,100.0,6.972,90.6,4,35.5,16.9,70.8,2.8,10.4,0.3404255319148936,0.9645618556701031,1.0,0
03.01.2023 02:00,132.0,97.6,7.046,89.9,4,35.2,18.0,71.0,2.8,9.6,0.3404255319148936,0.9627577319587629,1.0,0
03.01.2023 03:00,128.7,98.7,7.141,88.6,4,35.40000000000001,17.0,70.10000000000001,2.8,9.4,0.3404255319148936,0.9618556701030927,1.0,0
03.01.2023 04:00,152.2,97.9,6.972,96.1,5,36.40000000000001,17.2,71.1,2.7,9.4,0.3404255319148936,0.9597938144329896,0.93,0
03.01.2023 05:00,157.0,102.3,6.977,98.1,4,36.9,19.4,75.0,2.9,9.9,0.3404255319148936,0.9597938144329896,0.93,0
03.01.2023 06:00,171.4,105.9,7.036,118.5,4,47.3,22.9,89.2,2.8,11.2,0.3404255319148936,0.9588917525773196,0.93,0
03.01.2023 07:00,201.1,121.2,7.082999999999999,117.9,5,90.1,27.0,134.1,6.8,11.9,0.3404255319148936,0.9588917525773196,1.0,0
03.01.2023 08:00,185.3,138.9,7.133,130.7,5,122.2,31.2,158.7,12.1,15.8,0.3404255319148936,0.9608247422680413,1.0,0
03.01.2023 09:00,195.8,171.5,6.963,153.9,4,134.9,33.4,213.6,12.6,16.7,0.3404255319148936,0.9618556701030927,1.0,0
03.01.2023 10:00,217.0,186.3,7.02,169.4,4,136.2,35.4,224.6,18.1,18.7,0.3404255319148936,0.9636597938144329,1.0,0
03.01.2023 11:00,219.9,199.6,7.182,169.7,3,142.8,38.8,219.4,19.7,18.6,0.36170212765957444,0.965721649484536,0.93,0
03.01.2023 12:00,216.4,204.8,7.141,166.7,4,147.3,35.9,209.2,12.7,17.2,0.36170212765957444,0.9667525773195876,0.93,0
03.01.2023 13:00,209.7,203.6,7.051,162.8,3,144.8,35.6,173.5,16.7,19.7,0.36170212765957444,0.9675257731958762,0.87,0
03.01.2023 14:00,212.4,208.7,7.095,160.0,4,141.6,33.6,170.1,21.5,19.1,0.36170212765957444,0.9695876288659794,0.87,0
03.01.2023 15:00,212.9,201.0,7.084,158.7,3,137.5,34.7,166.6,19.9,20.3,0.36170212765957444,0.9704896907216495,0.87,0
03.01.2023 16:00,205.5,183.8,7.138,151.3,4,136.5,33.0,156.4,31.7,19.7,0.36170212765957444,0.971520618556701,0.87,0
03.01.2023 17:00,193.1,170.4,7.418,140.2,4,128.0,30.0,140.3,37.5,25.9,0.36170212765957444,0.9731958762886599,0.93,0
03.01.2023 18:00,208.3,160.0,7.585,121.5,3,109.3,24.2,134.0,27.0,24.7,0.3404255319148936,0.9740979381443299,0.93,0
03.01.2023 19:00,197.5,143.4,7.678,113.7,4,101.2,24.7,121.7,30.6,26.4,0.3404255319148936,0.9740979381443299,0.93,0
03.01.2023 20:00,144.9,121.8,7.552,103.2,3,94.7,18.6,104.1,25.6,25.7,0.3404255319148936,0.9751288659793815,0.93,0
03.01.2023 21:00,140.4,114.6,7.513999999999999,101.7,3,80.50000000000001,16.3,94.5,13.1,23.1,0.3404255319148936,0.9751288659793815,0.93,0
03.01.2023 22:00,137.8,110.6,7.627,98.2,4,75.6,15.7,78.5,3.1,23.7,0.3404255319148936,0.9751288659793815,0.93,0
03.01.2023 23:00,135.7,105.0,7.594,88.4,3,39.40000000000001,15.5,71.1,2.9,20.5,0.3404255319148936,0.9760309278350515,0.93,0
04.01.2023 00:00,135.6,106.5,7.132,89.1,3,35.6,15.7,71.0,2.8,13.9,0.3404255319148936,0.9760309278350515,0.93,0
04.01.2023 01:00,156.3,103.3,7.287,88.0,2,38.3,16.0,69.6,2.9,12.7,0.3404255319148936,0.9760309278350515,1.0,0
04.01.2023 02:00,159.5,103.7,7.167,88.0,3,37.2,15.5,68.8,2.9,11.9,0.3404255319148936,0.9760309278350515,1.0,0
04.01.2023 03:00,131.7,102.2,7.145,88.3,3,37.3,15.4,79.30000000000001,2.9,11.0,0.3404255319148936,0.9770618556701032,0.93,0
04.01.2023 04:00,129.9,102.8,7.174,94.5,2,38.40000000000001,16.2,112.5,2.9,11.0,0.3404255319148936,0.9770618556701032,0.93,0
04.01.2023 05:00,129.2,108.8,7.17,95.6,3,36.8,16.8,117.7,2.8,11.2,0.3404255319148936,0.9770618556701032,0.93,0
04.01.2023 06:00,144.1,111.8,7.241000000000001,115.9,3,47.3,21.9,125.3,2.9,11.4,0.3404255319148936,0.9770618556701032,0.87,0
04.01.2023 07:00,177.6,124.8,7.181,114.8,4,91.0,24.9,157.9,5.8,12.9,0.3404255319148936,0.9770618556701032,0.87,0
04.01.2023 08:00,181.2,144.1,7.122000000000001,131.8,4,126.3,30.6,194.7,19.4,15.0,0.3404255319148936,0.9770618556701032,0.87,0
04.01.2023 09:00,214.1,162.6,7.217000000000001,159.5,5,134.6,35.4,172.8,33.4,17.7,0.3404255319148936,0.9770618556701032,0.87,0
04.01.2023 10:00,232.3,174.3,7.167,174.0,5,134.3,37.1,176.7,28.9,20.7,0.3191489361702128,0.9770618556701032,0.86,0
04.01.2023 11:00,221.2,187.8,6.956,181.1,4,142.2,36.5,171.9,28.6,21.6,0.3191489361702128,0.9770618556701032,0.86,0
04.01.2023 12:00,217.0,201.0,7.085,171.5,5,149.5,37.2,178.9,27.2,19.1,0.3191489361702128,0.9770618556701032,0.86,0
04.01.2023 13:00,218.3,196.1,7.148999999999999,174.7,5,150.8,29.5,175.2,25.8,19.6,0.3191489361702128,0.9770618556701032,0.8,0
04.01.2023 14:00,221.1,200.9,7.039,172.7,6,146.0,31.1,169.4,25.8,22.4,0.2978723404255319,0.9770618556701032,0.86,0
04.01.2023 15:00,242.0,201.8,7.085999999999999,173.4,5,140.6,31.7,166.7,26.9,24.4,0.2978723404255319,0.9760309278350515,0.86,0
04.01.2023 16:00,220.9,188.0,7.194,163.3,16,140.3,28.2,167.0,46.9,22.2,0.2978723404255319,0.9760309278350515,0.86,0
04.01.2023 17:00,196.3,173.9,7.508,145.1,19,129.8,25.3,145.9,42.6,20.3,0.2765957446808511,0.9751288659793815,0.86,0
04.01.2023 18:00,190.3,157.0,7.596,120.4,12,116.1,21.5,134.9,44.1,24.0,0.2765957446808511,0.9751288659793815,0.86,0
04.01.2023 19:00,183.5,135.1,7.545,108.7,5,103.7,16.7,122.0,44.4,21.8,0.2765957446808511,0.9740979381443299,0.86,0
04.01.2023 20:00,146.5,122.2,7.72,98.3,4,93.8,14.1,106.6,40.9,26.4,0.2553191489361702,0.9731958762886599,0.93,0
04.01.2023 21:00,142.7,116.2,7.675999999999999,98.5,5,81.6,17.7,91.6,22.9,23.7,0.2553191489361702,0.9731958762886599,0.86,0
04.01.2023 22:00,141.0,113.5,7.548999999999999,96.1,4,76.4,14.8,75.30000000000001,3.5,18.4,0.2553191489361702,0.9721649484536082,0.8,0
04.01.2023 23:00,140.9,109.3,7.624,88.2,4,38.7,13.5,69.5,3.3,17.8,0.2553191489361702,0.9721649484536082,0.8,0
05.01.2023 00:00,140.5,106.6,7.301,84.3,4,36.40000000000001,13.6,68.39999999999999,3.2,14.5,0.23404255319148937,0.9713917525773195,0.86,0
05.01.2023 01:00,140.2,103.5,7.090000000000001,84.3,4,36.2,13.7,71.3,3.2,11.1,0.23404255319148937,0.9713917525773195,0.8,0
05.01.2023 02:00,139.4,103.4,7.250999999999999,82.5,4,36.3,13.7,68.3,3.3,10.3,0.2127659574468085,0.970360824742268,0.86,0
05.01.2023 03:00,134.9,103.9,7.266,83.3,4,36.0,13.7,68.1,3.3,10.2,0.2127659574468085,0.970360824742268,0.86,0
05.01.2023 04:00,135.1,105.1,7.145,88.4,3,37.90000000000001,13.6,68.5,3.2,10.5,0.23404255319148937,0.9704896907216495,0.8,0
05.01.2023 05:00,134.9,111.2,7.259,90.7,5,37.0,14.4,72.4,3.2,10.1,0.23404255319148937,0.9704896907216495,0.8,0
05.01.2023 06:00,149.9,111.9,7.267,111.8,4,54.0,18.8,109.9,3.3,10.4,0.2127659574468085,0.970360824742268,0.8,0
